#    L    TT             TE             EE             BB             PP
  1225    0.93805E+03    0.60846E+01    0.21963E+02    0.10096E+00    0.50289E-08
  1226    0.93367E+03    0.59905E+01    0.22148E+02    0.10088E+00    0.50220E-08
  1227    0.92937E+03    0.58798E+01    0.22332E+02    0.10079E+00    0.50152E-08
  1228    0.92499E+03    0.57538E+01    0.22517E+02    0.10071E+00    0.50084E-08
  1229    0.92068E+03    0.56111E+01    0.22701E+02    0.10063E+00    0.50015E-08
  1230    0.91622E+03    0.54539E+01    0.22884E+02    0.10055E+00    0.49947E-08
  1231    0.91191E+03    0.52807E+01    0.23067E+02    0.10046E+00    0.49880E-08
  1232    0.90759E+03    0.50930E+01    0.23249E+02    0.10038E+00    0.49812E-08
  1233    0.90342E+03    0.48885E+01    0.23432E+02    0.10029E+00    0.49744E-08
  1234    0.89917E+03    0.46702E+01    0.23612E+02    0.10021E+00    0.49677E-08
  1235    0.89522E+03    0.44366E+01    0.23792E+02    0.10012E+00    0.49609E-08
  1236    0.89111E+03    0.41884E+01    0.23970E+02    0.10004E+00    0.49542E-08
  1237    0.88700E+03    0.39249E+01    0.24148E+02    0.99953E-01    0.49475E-08
  1238    0.88296E+03    0.36468E+01    0.24325E+02    0.99867E-01    0.49408E-08
  1239    0.87891E+03    0.33540E+01    0.24500E+02    0.99781E-01    0.49341E-08
  1240    0.87486E+03    0.30480E+01    0.24674E+02    0.99695E-01    0.49275E-08
  1241    0.87096E+03    0.27274E+01    0.24846E+02    0.99609E-01    0.49208E-08
  1242    0.86698E+03    0.23942E+01    0.25018E+02    0.99522E-01    0.49142E-08
  1243    0.86306E+03    0.20454E+01    0.25187E+02    0.99436E-01    0.49076E-08
  1244    0.85922E+03    0.16846E+01    0.25356E+02    0.99349E-01    0.49010E-08
  1245    0.85544E+03    0.13103E+01    0.25522E+02    0.99262E-01    0.48944E-08
  1246    0.85166E+03    0.92397E+00    0.25687E+02    0.99175E-01    0.48878E-08
  1247    0.84787E+03    0.52417E+00    0.25849E+02    0.99088E-01    0.48812E-08
  1248    0.84415E+03    0.11150E+00    0.26010E+02    0.99001E-01    0.48747E-08
  1249    0.84050E+03   -0.31319E+00    0.26170E+02    0.98914E-01    0.48681E-08
  1250    0.83692E+03   -0.75007E+00    0.26327E+02    0.98827E-01    0.48616E-08
  1251    0.83333E+03   -0.11990E+01    0.26481E+02    0.98740E-01    0.48551E-08
  1252    0.82988E+03   -0.16599E+01    0.26635E+02    0.98653E-01    0.48486E-08
  1253    0.82635E+03   -0.21320E+01    0.26785E+02    0.98567E-01    0.48421E-08
  1254    0.82289E+03   -0.26153E+01    0.26933E+02    0.98480E-01    0.48356E-08
  1255    0.81950E+03   -0.31097E+01    0.27079E+02    0.98393E-01    0.48292E-08
  1256    0.81624E+03   -0.36146E+01    0.27222E+02    0.98307E-01    0.48227E-08
  1257    0.81298E+03   -0.41299E+01    0.27363E+02    0.98220E-01    0.48163E-08
  1258    0.80972E+03   -0.46554E+01    0.27501E+02    0.98134E-01    0.48099E-08
  1259    0.80651E+03   -0.51907E+01    0.27637E+02    0.98048E-01    0.48035E-08
  1260    0.80338E+03   -0.57355E+01    0.27769E+02    0.97962E-01    0.47971E-08
  1261    0.80031E+03   -0.62897E+01    0.27900E+02    0.97877E-01    0.47907E-08
  1262    0.79731E+03   -0.68528E+01    0.28028E+02    0.97791E-01    0.47843E-08
  1263    0.79437E+03   -0.74248E+01    0.28153E+02    0.97706E-01    0.47780E-08
  1264    0.79143E+03   -0.80054E+01    0.28275E+02    0.97621E-01    0.47716E-08
  1265    0.78862E+03   -0.85941E+01    0.28394E+02    0.97537E-01    0.47653E-08
  1266    0.78581E+03   -0.91907E+01    0.28511E+02    0.97452E-01    0.47590E-08
  1267    0.78306E+03   -0.97950E+01    0.28623E+02    0.97368E-01    0.47527E-08
  1268    0.78039E+03   -0.10407E+02    0.28735E+02    0.97285E-01    0.47464E-08
  1269    0.77779E+03   -0.11025E+02    0.28841E+02    0.97201E-01    0.47401E-08
  1270    0.77522E+03   -0.11651E+02    0.28944E+02    0.97118E-01    0.47339E-08
  1271    0.77273E+03   -0.12284E+02    0.29045E+02    0.97036E-01    0.47276E-08
  1272    0.77027E+03   -0.12922E+02    0.29143E+02    0.96953E-01    0.47214E-08
  1273    0.76786E+03   -0.13566E+02    0.29237E+02    0.96872E-01    0.47151E-08
  1274    0.76553E+03   -0.14216E+02    0.29327E+02    0.96790E-01    0.47089E-08
  1275    0.76325E+03   -0.14871E+02    0.29414E+02    0.96709E-01    0.47027E-08
  1276    0.76102E+03   -0.15531E+02    0.29499E+02    0.96629E-01    0.46965E-08
  1277    0.75885E+03   -0.16195E+02    0.29580E+02    0.96549E-01    0.46904E-08
  1278    0.75675E+03   -0.16864E+02    0.29657E+02    0.96469E-01    0.46842E-08
  1279    0.75470E+03   -0.17536E+02    0.29730E+02    0.96390E-01    0.46781E-08
  1280    0.75272E+03   -0.18214E+02    0.29801E+02    0.96311E-01    0.46719E-08
  1281    0.75080E+03   -0.18894E+02    0.29868E+02    0.96233E-01    0.46658E-08
  1282    0.74894E+03   -0.19577E+02    0.29932E+02    0.96155E-01    0.46597E-08
  1283    0.74714E+03   -0.20263E+02    0.29992E+02    0.96078E-01    0.46536E-08
  1284    0.74540E+03   -0.20952E+02    0.30048E+02    0.96002E-01    0.46475E-08
  1285    0.74372E+03   -0.21642E+02    0.30101E+02    0.95926E-01    0.46414E-08
  1286    0.74209E+03   -0.22335E+02    0.30149E+02    0.95850E-01    0.46353E-08
  1287    0.74053E+03   -0.23029E+02    0.30195E+02    0.95775E-01    0.46293E-08
  1288    0.73904E+03   -0.23725E+02    0.30236E+02    0.95701E-01    0.46232E-08
  1289    0.73760E+03   -0.24421E+02    0.30275E+02    0.95627E-01    0.46172E-08
  1290    0.73622E+03   -0.25118E+02    0.30309E+02    0.95554E-01    0.46112E-08
  1291    0.73490E+03   -0.25816E+02    0.30339E+02    0.95482E-01    0.46052E-08
  1292    0.73364E+03   -0.26514E+02    0.30365E+02    0.95410E-01    0.45992E-08
  1293    0.73244E+03   -0.27213E+02    0.30389E+02    0.95338E-01    0.45932E-08
  1294    0.73131E+03   -0.27908E+02    0.30408E+02    0.95268E-01    0.45873E-08
  1295    0.73022E+03   -0.28605E+02    0.30424E+02    0.95198E-01    0.45813E-08
  1296    0.72920E+03   -0.29299E+02    0.30436E+02    0.95128E-01    0.45754E-08
  1297    0.72823E+03   -0.29993E+02    0.30445E+02    0.95060E-01    0.45694E-08
  1298    0.72733E+03   -0.30684E+02    0.30449E+02    0.94992E-01    0.45635E-08
  1299    0.72647E+03   -0.31374E+02    0.30450E+02    0.94924E-01    0.45576E-08
  1300    0.72569E+03   -0.32061E+02    0.30447E+02    0.94858E-01    0.45517E-08
  1301    0.72496E+03   -0.32746E+02    0.30441E+02    0.94792E-01    0.45458E-08
  1302    0.72428E+03   -0.33427E+02    0.30430E+02    0.94726E-01    0.45399E-08
  1303    0.72366E+03   -0.34105E+02    0.30416E+02    0.94662E-01    0.45341E-08
  1304    0.72310E+03   -0.34780E+02    0.30399E+02    0.94598E-01    0.45282E-08
  1305    0.72259E+03   -0.35452E+02    0.30377E+02    0.94535E-01    0.45224E-08
  1306    0.72213E+03   -0.36119E+02    0.30353E+02    0.94472E-01    0.45165E-08
  1307    0.72174E+03   -0.36781E+02    0.30324E+02    0.94411E-01    0.45107E-08
  1308    0.72139E+03   -0.37440E+02    0.30292E+02    0.94350E-01    0.45049E-08
  1309    0.72109E+03   -0.38093E+02    0.30255E+02    0.94289E-01    0.44991E-08
  1310    0.72086E+03   -0.38742E+02    0.30215E+02    0.94230E-01    0.44933E-08
  1311    0.72066E+03   -0.39385E+02    0.30172E+02    0.94171E-01    0.44876E-08
  1312    0.72055E+03   -0.40022E+02    0.30126E+02    0.94113E-01    0.44818E-08
  1313    0.72046E+03   -0.40653E+02    0.30075E+02    0.94055E-01    0.44761E-08
  1314    0.72043E+03   -0.41278E+02    0.30021E+02    0.93999E-01    0.44703E-08
  1315    0.72045E+03   -0.41896E+02    0.29965E+02    0.93943E-01    0.44646E-08
  1316    0.72052E+03   -0.42508E+02    0.29903E+02    0.93888E-01    0.44589E-08
  1317    0.72064E+03   -0.43113E+02    0.29840E+02    0.93833E-01    0.44532E-08
  1318    0.72080E+03   -0.43710E+02    0.29772E+02    0.93780E-01    0.44475E-08
  1319    0.72101E+03   -0.44301E+02    0.29701E+02    0.93727E-01    0.44418E-08
  1320    0.72126E+03   -0.44883E+02    0.29626E+02    0.93675E-01    0.44361E-08
  1321    0.72155E+03   -0.45459E+02    0.29550E+02    0.93623E-01    0.44305E-08
  1322    0.72189E+03   -0.46025E+02    0.29468E+02    0.93573E-01    0.44248E-08
  1323    0.72228E+03   -0.46583E+02    0.29383E+02    0.93523E-01    0.44192E-08
  1324    0.72271E+03   -0.47133E+02    0.29296E+02    0.93473E-01    0.44135E-08
  1325    0.72318E+03   -0.47673E+02    0.29206E+02    0.93425E-01    0.44079E-08
  1326    0.72370E+03   -0.48206E+02    0.29112E+02    0.93377E-01    0.44023E-08
  1327    0.72424E+03   -0.48729E+02    0.29016E+02    0.93330E-01    0.43967E-08
  1328    0.72484E+03   -0.49241E+02    0.28917E+02    0.93284E-01    0.43911E-08
  1329    0.72547E+03   -0.49745E+02    0.28814E+02    0.93238E-01    0.43856E-08
  1330    0.72614E+03   -0.50239E+02    0.28708E+02    0.93194E-01    0.43800E-08
  1331    0.72685E+03   -0.50723E+02    0.28600E+02    0.93149E-01    0.43744E-08
  1332    0.72758E+03   -0.51197E+02    0.28488E+02    0.93106E-01    0.43689E-08
  1333    0.72836E+03   -0.51660E+02    0.28374E+02    0.93063E-01    0.43634E-08
  1334    0.72917E+03   -0.52113E+02    0.28257E+02    0.93021E-01    0.43578E-08
  1335    0.73001E+03   -0.52555E+02    0.28137E+02    0.92980E-01    0.43523E-08
  1336    0.73089E+03   -0.52985E+02    0.28015E+02    0.92939E-01    0.43468E-08
  1337    0.73179E+03   -0.53405E+02    0.27890E+02    0.92899E-01    0.43413E-08
  1338    0.73272E+03   -0.53814E+02    0.27762E+02    0.92860E-01    0.43359E-08
  1339    0.73369E+03   -0.54212E+02    0.27632E+02    0.92821E-01    0.43304E-08
  1340    0.73469E+03   -0.54599E+02    0.27499E+02    0.92783E-01    0.43249E-08
  1341    0.73570E+03   -0.54973E+02    0.27365E+02    0.92746E-01    0.43195E-08
  1342    0.73674E+03   -0.55336E+02    0.27228E+02    0.92709E-01    0.43140E-08
  1343    0.73782E+03   -0.55687E+02    0.27088E+02    0.92673E-01    0.43086E-08
  1344    0.73891E+03   -0.56026E+02    0.26946E+02    0.92637E-01    0.43032E-08
  1345    0.74002E+03   -0.56353E+02    0.26803E+02    0.92602E-01    0.42978E-08
  1346    0.74116E+03   -0.56668E+02    0.26656E+02    0.92568E-01    0.42924E-08
  1347    0.74233E+03   -0.56971E+02    0.26508E+02    0.92534E-01    0.42870E-08
  1348    0.74350E+03   -0.57261E+02    0.26358E+02    0.92501E-01    0.42816E-08
  1349    0.74471E+03   -0.57538E+02    0.26205E+02    0.92469E-01    0.42763E-08
  1350    0.74592E+03   -0.57802E+02    0.26051E+02    0.92437E-01    0.42709E-08
  1351    0.74716E+03   -0.58054E+02    0.25895E+02    0.92405E-01    0.42656E-08
  1352    0.74840E+03   -0.58293E+02    0.25737E+02    0.92374E-01    0.42602E-08
  1353    0.74967E+03   -0.58519E+02    0.25579E+02    0.92344E-01    0.42549E-08
  1354    0.75094E+03   -0.58733E+02    0.25418E+02    0.92314E-01    0.42496E-08
  1355    0.75224E+03   -0.58933E+02    0.25255E+02    0.92285E-01    0.42443E-08
  1356    0.75356E+03   -0.59122E+02    0.25092E+02    0.92256E-01    0.42390E-08
  1357    0.75487E+03   -0.59296E+02    0.24926E+02    0.92227E-01    0.42337E-08
  1358    0.75619E+03   -0.59456E+02    0.24759E+02    0.92200E-01    0.42284E-08
  1359    0.75751E+03   -0.59604E+02    0.24591E+02    0.92172E-01    0.42231E-08
  1360    0.75883E+03   -0.59738E+02    0.24423E+02    0.92145E-01    0.42179E-08
  1361    0.76018E+03   -0.59860E+02    0.24252E+02    0.92118E-01    0.42126E-08
  1362    0.76151E+03   -0.59967E+02    0.24080E+02    0.92092E-01    0.42074E-08
  1363    0.76285E+03   -0.60063E+02    0.23908E+02    0.92066E-01    0.42022E-08
  1364    0.76417E+03   -0.60144E+02    0.23734E+02    0.92041E-01    0.41969E-08
  1365    0.76558E+03   -0.60211E+02    0.23560E+02    0.92016E-01    0.41917E-08
  1366    0.76691E+03   -0.60267E+02    0.23384E+02    0.91991E-01    0.41865E-08
  1367    0.76824E+03   -0.60309E+02    0.23207E+02    0.91967E-01    0.41813E-08
  1368    0.76965E+03   -0.60337E+02    0.23031E+02    0.91943E-01    0.41762E-08
  1369    0.77098E+03   -0.60352E+02    0.22853E+02    0.91920E-01    0.41710E-08
  1370    0.77231E+03   -0.60354E+02    0.22675E+02    0.91896E-01    0.41658E-08
  1371    0.77364E+03   -0.60342E+02    0.22496E+02    0.91873E-01    0.41607E-08
  1372    0.77497E+03   -0.60318E+02    0.22317E+02    0.91851E-01    0.41555E-08
  1373    0.77631E+03   -0.60281E+02    0.22138E+02    0.91828E-01    0.41504E-08
  1374    0.77764E+03   -0.60229E+02    0.21958E+02    0.91806E-01    0.41453E-08
  1375    0.77898E+03   -0.60166E+02    0.21778E+02    0.91784E-01    0.41402E-08
  1376    0.78031E+03   -0.60089E+02    0.21598E+02    0.91762E-01    0.41351E-08
  1377    0.78165E+03   -0.60000E+02    0.21419E+02    0.91741E-01    0.41300E-08
  1378    0.78299E+03   -0.59898E+02    0.21237E+02    0.91720E-01    0.41249E-08
  1379    0.78425E+03   -0.59782E+02    0.21058E+02    0.91699E-01    0.41198E-08
  1380    0.78552E+03   -0.59655E+02    0.20877E+02    0.91678E-01    0.41147E-08
  1381    0.78679E+03   -0.59514E+02    0.20697E+02    0.91657E-01    0.41097E-08
  1382    0.78792E+03   -0.59360E+02    0.20518E+02    0.91636E-01    0.41046E-08
  1383    0.78920E+03   -0.59194E+02    0.20338E+02    0.91616E-01    0.40996E-08
  1384    0.79033E+03   -0.59015E+02    0.20159E+02    0.91596E-01    0.40945E-08
  1385    0.79146E+03   -0.58824E+02    0.19980E+02    0.91575E-01    0.40895E-08
  1386    0.79259E+03   -0.58621E+02    0.19802E+02    0.91555E-01    0.40845E-08
  1387    0.79366E+03   -0.58406E+02    0.19624E+02    0.91535E-01    0.40795E-08
  1388    0.79488E+03   -0.58178E+02    0.19447E+02    0.91515E-01    0.40745E-08
  1389    0.79595E+03   -0.57938E+02    0.19270E+02    0.91495E-01    0.40695E-08
  1390    0.79695E+03   -0.57688E+02    0.19094E+02    0.91475E-01    0.40645E-08
  1391    0.79803E+03   -0.57425E+02    0.18919E+02    0.91455E-01    0.40596E-08
  1392    0.79904E+03   -0.57151E+02    0.18745E+02    0.91436E-01    0.40546E-08
  1393    0.80006E+03   -0.56865E+02    0.18572E+02    0.91416E-01    0.40497E-08
  1394    0.80100E+03   -0.56568E+02    0.18400E+02    0.91396E-01    0.40447E-08
  1395    0.80195E+03   -0.56260E+02    0.18228E+02    0.91376E-01    0.40398E-08
  1396    0.80291E+03   -0.55941E+02    0.18059E+02    0.91356E-01    0.40349E-08
  1397    0.80379E+03   -0.55611E+02    0.17890E+02    0.91336E-01    0.40300E-08
  1398    0.80461E+03   -0.55270E+02    0.17721E+02    0.91316E-01    0.40251E-08
  1399    0.80543E+03   -0.54919E+02    0.17555E+02    0.91295E-01    0.40202E-08
  1400    0.80626E+03   -0.54557E+02    0.17390E+02    0.91275E-01    0.40153E-08
  1401    0.80702E+03   -0.54185E+02    0.17226E+02    0.91254E-01    0.40104E-08
  1402    0.80778E+03   -0.53803E+02    0.17064E+02    0.91234E-01    0.40055E-08
  1403    0.80848E+03   -0.53410E+02    0.16903E+02    0.91213E-01    0.40007E-08
  1404    0.80911E+03   -0.53008E+02    0.16744E+02    0.91192E-01    0.39958E-08
  1405    0.80982E+03   -0.52596E+02    0.16586E+02    0.91171E-01    0.39910E-08
  1406    0.81038E+03   -0.52176E+02    0.16431E+02    0.91150E-01    0.39861E-08
  1407    0.81088E+03   -0.51746E+02    0.16276E+02    0.91128E-01    0.39813E-08
  1408    0.81154E+03   -0.51307E+02    0.16123E+02    0.91106E-01    0.39765E-08
  1409    0.81198E+03   -0.50859E+02    0.15972E+02    0.91084E-01    0.39717E-08
  1410    0.81250E+03   -0.50403E+02    0.15823E+02    0.91062E-01    0.39669E-08
  1411    0.81295E+03   -0.49937E+02    0.15675E+02    0.91039E-01    0.39621E-08
  1412    0.81334E+03   -0.49464E+02    0.15530E+02    0.91016E-01    0.39573E-08
  1413    0.81359E+03   -0.48982E+02    0.15387E+02    0.90993E-01    0.39525E-08
  1414    0.81391E+03   -0.48492E+02    0.15246E+02    0.90970E-01    0.39477E-08
  1415    0.81418E+03   -0.47995E+02    0.15107E+02    0.90946E-01    0.39430E-08
  1416    0.81445E+03   -0.47491E+02    0.14970E+02    0.90922E-01    0.39382E-08
  1417    0.81458E+03   -0.46980E+02    0.14834E+02    0.90897E-01    0.39335E-08
  1418    0.81472E+03   -0.46461E+02    0.14701E+02    0.90873E-01    0.39287E-08
  1419    0.81479E+03   -0.45936E+02    0.14570E+02    0.90847E-01    0.39240E-08
  1420    0.81487E+03   -0.45404E+02    0.14442E+02    0.90822E-01    0.39193E-08
  1421    0.81488E+03   -0.44865E+02    0.14316E+02    0.90796E-01    0.39146E-08
  1422    0.81491E+03   -0.44321E+02    0.14192E+02    0.90770E-01    0.39099E-08
  1423    0.81479E+03   -0.43771E+02    0.14070E+02    0.90743E-01    0.39052E-08
  1424    0.81476E+03   -0.43215E+02    0.13951E+02    0.90715E-01    0.39005E-08
  1425    0.81459E+03   -0.42653E+02    0.13835E+02    0.90688E-01    0.38958E-08
  1426    0.81435E+03   -0.42086E+02    0.13721E+02    0.90660E-01    0.38912E-08
  1427    0.81420E+03   -0.41514E+02    0.13609E+02    0.90631E-01    0.38865E-08
  1428    0.81391E+03   -0.40938E+02    0.13499E+02    0.90602E-01    0.38818E-08
  1429    0.81355E+03   -0.40355E+02    0.13393E+02    0.90572E-01    0.38772E-08
  1430    0.81320E+03   -0.39770E+02    0.13289E+02    0.90542E-01    0.38726E-08
  1431    0.81279E+03   -0.39180E+02    0.13187E+02    0.90512E-01    0.38679E-08
  1432    0.81231E+03   -0.38586E+02    0.13089E+02    0.90481E-01    0.38633E-08
  1433    0.81192E+03   -0.37988E+02    0.12993E+02    0.90449E-01    0.38587E-08
  1434    0.81139E+03   -0.37386E+02    0.12899E+02    0.90417E-01    0.38541E-08
  1435    0.81079E+03   -0.36782E+02    0.12808E+02    0.90384E-01    0.38495E-08
  1436    0.81021E+03   -0.36175E+02    0.12720E+02    0.90351E-01    0.38449E-08
  1437    0.80948E+03   -0.35564E+02    0.12634E+02    0.90317E-01    0.38403E-08
  1438    0.80877E+03   -0.34953E+02    0.12551E+02    0.90283E-01    0.38358E-08
  1439    0.80799E+03   -0.34337E+02    0.12471E+02    0.90248E-01    0.38312E-08
  1440    0.80722E+03   -0.33720E+02    0.12394E+02    0.90212E-01    0.38266E-08
  1441    0.80638E+03   -0.33102E+02    0.12319E+02    0.90176E-01    0.38221E-08
  1442    0.80548E+03   -0.32482E+02    0.12247E+02    0.90139E-01    0.38175E-08
  1443    0.80452E+03   -0.31859E+02    0.12179E+02    0.90102E-01    0.38130E-08
  1444    0.80357E+03   -0.31236E+02    0.12112E+02    0.90064E-01    0.38085E-08
  1445    0.80248E+03   -0.30613E+02    0.12050E+02    0.90026E-01    0.38040E-08
  1446    0.80147E+03   -0.29988E+02    0.11989E+02    0.89986E-01    0.37995E-08
  1447    0.80025E+03   -0.29361E+02    0.11932E+02    0.89947E-01    0.37950E-08
  1448    0.79911E+03   -0.28736E+02    0.11877E+02    0.89906E-01    0.37905E-08
  1449    0.79791E+03   -0.28110E+02    0.11825E+02    0.89865E-01    0.37860E-08
  1450    0.79665E+03   -0.27485E+02    0.11776E+02    0.89823E-01    0.37815E-08
  1451    0.79539E+03   -0.26861E+02    0.11731E+02    0.89781E-01    0.37770E-08
  1452    0.79400E+03   -0.26238E+02    0.11687E+02    0.89738E-01    0.37726E-08
  1453    0.79261E+03   -0.25615E+02    0.11647E+02    0.89694E-01    0.37681E-08
  1454    0.79124E+03   -0.24992E+02    0.11610E+02    0.89650E-01    0.37637E-08
  1455    0.78980E+03   -0.24372E+02    0.11575E+02    0.89605E-01    0.37592E-08
  1456    0.78830E+03   -0.23754E+02    0.11544E+02    0.89559E-01    0.37548E-08
  1457    0.78665E+03   -0.23137E+02    0.11514E+02    0.89513E-01    0.37504E-08
  1458    0.78509E+03   -0.22521E+02    0.11489E+02    0.89466E-01    0.37459E-08
  1459    0.78347E+03   -0.21907E+02    0.11465E+02    0.89418E-01    0.37415E-08
  1460    0.78178E+03   -0.21297E+02    0.11446E+02    0.89370E-01    0.37371E-08
  1461    0.78011E+03   -0.20689E+02    0.11427E+02    0.89321E-01    0.37327E-08
  1462    0.77836E+03   -0.20084E+02    0.11412E+02    0.89271E-01    0.37283E-08
  1463    0.77648E+03   -0.19482E+02    0.11400E+02    0.89221E-01    0.37240E-08
  1464    0.77468E+03   -0.18883E+02    0.11390E+02    0.89170E-01    0.37196E-08
  1465    0.77274E+03   -0.18287E+02    0.11384E+02    0.89118E-01    0.37152E-08
  1466    0.77089E+03   -0.17695E+02    0.11380E+02    0.89066E-01    0.37109E-08
  1467    0.76889E+03   -0.17107E+02    0.11379E+02    0.89013E-01    0.37065E-08
  1468    0.76691E+03   -0.16523E+02    0.11381E+02    0.88959E-01    0.37022E-08
  1469    0.76493E+03   -0.15943E+02    0.11385E+02    0.88904E-01    0.36978E-08
  1470    0.76274E+03   -0.15367E+02    0.11391E+02    0.88849E-01    0.36935E-08
  1471    0.76071E+03   -0.14796E+02    0.11402E+02    0.88793E-01    0.36892E-08
  1472    0.75861E+03   -0.14230E+02    0.11414E+02    0.88737E-01    0.36849E-08
  1473    0.75645E+03   -0.13670E+02    0.11429E+02    0.88679E-01    0.36806E-08
  1474    0.75414E+03   -0.13113E+02    0.11446E+02    0.88621E-01    0.36763E-08
  1475    0.75192E+03   -0.12562E+02    0.11466E+02    0.88563E-01    0.36720E-08
  1476    0.74963E+03   -0.12018E+02    0.11489E+02    0.88504E-01    0.36677E-08
  1477    0.74735E+03   -0.11478E+02    0.11514E+02    0.88444E-01    0.36634E-08
  1478    0.74501E+03   -0.10945E+02    0.11541E+02    0.88383E-01    0.36591E-08
  1479    0.74267E+03   -0.10418E+02    0.11571E+02    0.88322E-01    0.36549E-08
  1480    0.74027E+03   -0.98967E+01    0.11604E+02    0.88260E-01    0.36506E-08
  1481    0.73780E+03   -0.93819E+01    0.11639E+02    0.88197E-01    0.36464E-08
  1482    0.73536E+03   -0.88736E+01    0.11676E+02    0.88134E-01    0.36421E-08
  1483    0.73286E+03   -0.83720E+01    0.11716E+02    0.88070E-01    0.36379E-08
  1484    0.73036E+03   -0.78771E+01    0.11757E+02    0.88005E-01    0.36337E-08
  1485    0.72781E+03   -0.73894E+01    0.11801E+02    0.87940E-01    0.36294E-08
  1486    0.72522E+03   -0.69085E+01    0.11848E+02    0.87874E-01    0.36252E-08
  1487    0.72261E+03   -0.64350E+01    0.11896E+02    0.87807E-01    0.36210E-08
  1488    0.71999E+03   -0.59688E+01    0.11947E+02    0.87740E-01    0.36168E-08
  1489    0.71732E+03   -0.55102E+01    0.12001E+02    0.87672E-01    0.36126E-08
  1490    0.71463E+03   -0.50592E+01    0.12055E+02    0.87604E-01    0.36084E-08
  1491    0.71192E+03   -0.46161E+01    0.12112E+02    0.87535E-01    0.36042E-08
  1492    0.70919E+03   -0.41808E+01    0.12172E+02    0.87465E-01    0.36001E-08
  1493    0.70643E+03   -0.37536E+01    0.12232E+02    0.87395E-01    0.35959E-08
  1494    0.70365E+03   -0.33345E+01    0.12295E+02    0.87324E-01    0.35918E-08
  1495    0.70085E+03   -0.29238E+01    0.12360E+02    0.87252E-01    0.35876E-08
  1496    0.69802E+03   -0.25213E+01    0.12427E+02    0.87180E-01    0.35835E-08
  1497    0.69517E+03   -0.21273E+01    0.12495E+02    0.87107E-01    0.35793E-08
  1498    0.69232E+03   -0.17419E+01    0.12565E+02    0.87034E-01    0.35752E-08
  1499    0.68943E+03   -0.13652E+01    0.12637E+02    0.86960E-01    0.35711E-08
  1500    0.68653E+03   -0.99717E+00    0.12711E+02    0.86886E-01    0.35669E-08
  1501    0.68362E+03   -0.63787E+00    0.12786E+02    0.86811E-01    0.35628E-08
  1502    0.68068E+03   -0.28775E+00    0.12862E+02    0.86735E-01    0.35587E-08
  1503    0.67773E+03    0.53370E-01    0.12941E+02    0.86659E-01    0.35546E-08
  1504    0.67477E+03    0.38559E+00    0.13021E+02    0.86582E-01    0.35505E-08
  1505    0.67179E+03    0.70857E+00    0.13102E+02    0.86505E-01    0.35465E-08
  1506    0.66880E+03    0.10224E+01    0.13185E+02    0.86427E-01    0.35424E-08
  1507    0.66579E+03    0.13271E+01    0.13269E+02    0.86349E-01    0.35383E-08
  1508    0.66278E+03    0.16222E+01    0.13354E+02    0.86270E-01    0.35342E-08
  1509    0.65974E+03    0.19079E+01    0.13440E+02    0.86191E-01    0.35302E-08
  1510    0.65671E+03    0.21840E+01    0.13529E+02    0.86111E-01    0.35261E-08
  1511    0.65365E+03    0.24512E+01    0.13618E+02    0.86031E-01    0.35221E-08
  1512    0.65059E+03    0.27073E+01    0.13708E+02    0.85950E-01    0.35181E-08
  1513    0.64752E+03    0.29554E+01    0.13799E+02    0.85869E-01    0.35140E-08
  1514    0.64445E+03    0.31931E+01    0.13892E+02    0.85788E-01    0.35100E-08
  1515    0.64138E+03    0.34220E+01    0.13986E+02    0.85706E-01    0.35060E-08
  1516    0.63829E+03    0.36399E+01    0.14080E+02    0.85623E-01    0.35020E-08
  1517    0.63521E+03    0.38490E+01    0.14175E+02    0.85541E-01    0.34980E-08
  1518    0.63211E+03    0.40493E+01    0.14271E+02    0.85457E-01    0.34940E-08
  1519    0.62901E+03    0.42380E+01    0.14368E+02    0.85374E-01    0.34900E-08
  1520    0.62592E+03    0.44179E+01    0.14465E+02    0.85290E-01    0.34860E-08
  1521    0.62282E+03    0.45883E+01    0.14564E+02    0.85205E-01    0.34820E-08
  1522    0.61971E+03    0.47485E+01    0.14662E+02    0.85120E-01    0.34780E-08
  1523    0.61661E+03    0.48992E+01    0.14761E+02    0.85035E-01    0.34741E-08
  1524    0.61350E+03    0.50397E+01    0.14861E+02    0.84950E-01    0.34701E-08
  1525    0.61039E+03    0.51708E+01    0.14962E+02    0.84864E-01    0.34662E-08
  1526    0.60729E+03    0.52925E+01    0.15063E+02    0.84778E-01    0.34622E-08
  1527    0.60419E+03    0.54032E+01    0.15164E+02    0.84692E-01    0.34583E-08
  1528    0.60109E+03    0.55052E+01    0.15266E+02    0.84605E-01    0.34544E-08
  1529    0.59799E+03    0.55978E+01    0.15367E+02    0.84518E-01    0.34504E-08
  1530    0.59491E+03    0.56802E+01    0.15469E+02    0.84431E-01    0.34465E-08
  1531    0.59182E+03    0.57525E+01    0.15571E+02    0.84343E-01    0.34426E-08
  1532    0.58875E+03    0.58160E+01    0.15674E+02    0.84255E-01    0.34387E-08
  1533    0.58567E+03    0.58708E+01    0.15776E+02    0.84167E-01    0.34348E-08
  1534    0.58261E+03    0.59139E+01    0.15879E+02    0.84079E-01    0.34309E-08
  1535    0.57956E+03    0.59491E+01    0.15982E+02    0.83991E-01    0.34270E-08
